zip, city
1996,Basse-Nendaz
8303,Bassersdorf
1269,Bassins
1786,Sugiez
8573,Siegershausen
3315,Bätterkinden
4112,Bättwil
6466,Bauen
1815,Clarens
1446,Baulmes
8494,Bauma
1372,Bavois
9602,Bazenheid
3803,Beatenberg
3658,Merligen
8414,Buch am Irchel
6375,Beckenried
6930,Bedano
6981,Bedigliora
6781,Bedretto
8228,Beggingen
1268,Begnins
4229,Beinwil SO
5637,Beinwil (Freiamt)
5712,Beinwil am See
3113,Rubigen
3914,Belalp
1782,Belfaux
2354,Goumois
4512,Bellach
1786,Sugiez
2713,Bellelay
1585,Bellerive VD
1222,Vésenaz
2805,Soyhières
2805,Soyhières
1293,Bellevue
5454,Bellikon
6500,Bellinzona
2564,Bellmund
3997,Bellwald
1092,Belmont-Lausanne
1432,Belmont-Yverdon
3123,Belp
3124,Belpberg
2744,Belprahon
2406,Le Brouillet
9042,Speicher
8802,Kilchberg ZH
1197,Prangins
8121,Benglen
8463,Benken ZH
4105,Biel-Benken BL
8717,Benken SG
8836,Bennau
4431,Bennwil
5636,Benzenschwil
1038,Bercher
8625,Gossau ZH
8471,Berg (Dägerlen)
9305,Berg SG
8572,Berg TG
8415,Berg am Irchel
8962,Bergdietikon
7482,Bergün/Bravuogn
6981,Biogno-Beride
8965,Berikon
8222,Beringen
3900,Brig
3376,Berken
1680,Berlens
2854,Bassecourt
8267,Berlingen
3000,Bern
5325,Leibstadt
9442,Berneck
9442,Berneck
1233,Bernex
9304,Bernhardzell
7504,Pontresina
8280,Kreuzlingen
1149,Berolle
6215,Beromünster
8892,Berschis
8614,Bertschikon Gossau
8543,Bertschikon
6661,Berzona
6863,Besazio
5627,Besenbüren
1609,Besencens
8546,Islikon
3000,Bern
8872,Weesen
8777,Betschwanden
3991,Betten
3366,Bettenhausen
1042,Bettens
4126,Bettingen
2544,Bettlach
3992,Bettmeralp
9553,Bettwiesen
5618,Bettwil
2935,Beurnevésin
1996,Beuson (Nendaz)
2022,Bevaix
7502,Bever
2735,Bévilard
8543,Bertschikon
1880,Bex
8735,St. Gallenkappel
5312,Döttingen
6710,Biasca
6710,Biasca
2336,Les Bois
8836,Bennau
8836,Bennau
3206,Biberen
4562,Biberist
8262,Ramsen
4578,Bibern SO
8242,Bibern SH
5023,Biberstein
8363,Bichelsee
9248,Bichwil
3472,Wynigen
8912,Obfelden
6958,Bidogno
4105,Biel-Benken BL
3989,Biel VS
2500,Biel/Bienne
3419,Biembach
4410,Liestal
1145,Bière
8580,Biessenhofen
8307,Effretikon
1996,Bieudron (Nendaz)
4585,Biezwil
3513,Bigenthal
3507,Biglen
6676,Bignasco
6927,Agra
6954,Bigorio
1681,Billens
8314,Kyburg
8865,Bilten
3996,Binn
4102,Binningen
8122,Binz
8627,Grüningen
6934,Bioggio
6981,Biogno-Beride
6932,Breganzona
1407,Bioley-Magnoux
1042,Bioley-Orjulaz
1670,Bionnens
8309,Nürensdorf
3903,Birgisch
8903,Birmensdorf ZH
5413,Birmenstorf AG
6804,Bironico
5242,Birr
5244,Birrhard
5628,Aristau
5708,Birrwil
4127,Birsfelden
4127,Birsfelden
8585,Birwinken
9220,Bischofszell
8307,Effretikon
6436,Bisisthal
8514,Amlikon-Bissegg
6816,Bissone
3983,Bister
3982,Bitsch
3255,Rapperswil BE
7457,Bivio
3771,Blankenburg
3537,Eggiwil
3919,Blatten(Lötschen)
6102,Malters
3914,Blatten b. Naters
4223,Blauen
3717,Blausee-Mitholz
4562,Biberist
3368,Bleienbach
8583,Sulgen
3674,Bleiken
1675,Blessens
6340,Baar
9220,Bischofszell
8494,Bauma
1966,Blignou (Ayent)
8493,Saland
3989,Blitzingen
1807,Blonay
3975,Randogne
3638,Blumenstein
5334,Böbikon
4461,Böckten
3715,Adelboden
6743,Bodio TI
2856,Boécourt
1353,Bofflens
1279,Bogis-Bossey
6216,Mauensee
6951,Bogno
6221,Rickenbach LU
6221,Rickenbach LU
1260,Nyon
2014,Bôle
4556,Bolken
3067,Boll
5610,Wohlen AG
3065,Bolligen
8715,Bollingen
1470,Bollion
3366,Bollodingen
3766,Boltigen
8561,Ottoberg
6981,Bombinasco
7402,Bonaduz
8554,Bonau
2926,Boncourt
7606,Promontogno
2944,Bonfol
3806,Bönigen
4618,Boningen
5706,Boniswil
1724,Bonnefontaine
8906,Bonstetten
1427,Bonvillars
8113,Boppelsen
1277,Borex
6658,Borgnone
7604,Borgonovo
8264,Eschenz
7545,Guarda
6852,Genestrerio
6935,Bosco Luganese
6685,Bosco/Gurin
3178,Bösingen
1615,Bossonnens
1239,Collex
5623,Boswil
9230,Flawil
1041,Bottens
4814,Bottenwil
1652,Botterens
8598,Bottighofen
4103,Bottmingen
5315,Böttstein
1966,Botyre (Ayent)
2043,Boudevilliers
2017,Boudry
1172,Bougy-Villars
1063,Boulens
1699,Bouloz
1242,Satigny
1946,Bourg-St-Pierre
1722,Bourguillon
1035,Bournens
2803,Bourrignon
1034,Boussens
1897,Bouveret
2113,Boveresse
1932,Bovernier
3533,Bowil
5076,Bözen
2500,Biel/Bienne
6544,Braggio
7527,Brail
3176,Neuenegg
6167,Bramboden
1967,Bramois
1944,La Fouly VS
1944,La Fouly VS
1926,Fully
3957,Bratsch
9502,Braunau
8784,Braunwald
6979,Brè sopra Lugano
6932,Breganzona
7165,Breil/Brigels
1783,Pensier
8309,Nürensdorf
4000,Basel
6130,Willisau
3983,Mörel
4226,Breitenbach
3474,Rüedisbach
9214,Kradolf
3000,Bern
8492,Wila
1121,Bremblens
5620,Bremgarten AG
3047,Bremgarten b. Bern
9426,Lutzenberg
1683,Brenles
6937,Breno
1817,Brent
3671,Brenzikofen
2904,Bressaucourt
1510,Moudon
1510,Moudon
1510,Moudon
1884,Villars-sur-Ollon
1053,Bretigny-Morrens
1329,Bretonnières
4207,Bretzwil
3951,Agarn
3966,Chalais
6672,Gordevio
3855,Brienz BE
7084,Brienz/Brinzauls
3856,Brienzwiler
3900,Brig
3900,Brigerbad
1996,Brignon (Nendaz)
6634,Brione (Verzasca)
6645,Brione s. Minusio
6645,Brione s. Minusio
6144,Zell LU
4225,Brislach
6614,Brissago
6475,Bristen
4588,Brittern
4805,Brittnau
1636,Broc
1636,Broc
3752,Wimmis
6693,Broglio
9552,Bronschhofen
6692,Brontallo
2149,Brot-Dessous
2318,Brot-Plamboz
2318,Brot-Plamboz
4000,Basel
4101,Bruderholz
4101,Bruderholz
5200,Brugg AG
2555,Brügg BE
3176,Neuenegg
9000,St. Gallen
4582,Brügglen
9058,Brülisau
9058,Brülisau
7122,Valendas
5505,Brunegg
8483,Kollbrunn
3860,Brünig
3860,Meiringen
1719,Brünisried
9125,Brunnadern
6440,Brunnen
3307,Brunnenthal
4717,Mümliswil
4717,Mümliswil
5637,Beinwil (Freiamt)
6883,Novazzano
8580,Amriswil
6827,Brusino Arsizio
7743,Brusio
1934,Bruson
3237,Brüttelen
8311,Brütten
8306,Brüttisellen
6837,Bruzella
4416,Bubendorf
8608,Bubikon
5512,Wohlenschwil
8263,Buch SH
8414,Buch am Irchel
8524,Buch b. Frauenfeld
8586,Buch b. Kümmertshs
9562,Buch b. Märwil
3205,Gümmenen
8586,Buchackern
8454,Buchberg
4586,Kyburg-Buchegg
9464,Rüthi (Rheintal)
3623,Buchen BE
7223,Buchen
8143,Stallikon
3615,Heimenschwand
3600,Thun
1164,Buchillon
6033,Buchrain
8107,Buchs ZH
6211,Buchs LU
9470,Buchs SG
5033,Buchs AG
3215,Büchslen
8203,Schaffhausen
4446,Buckten
9422,Staad SG
5622,Waltenschwil
3263,Büetigen
1180,Rolle
8500,Frauenfeld
3274,Bühl BE
9055,Bühler
9215,Buhwil
2925,Buix
8180,Bülach
1630,Bulle
1453,Bullet
6197,Schangnau
3000,Bern
3054,Schüpfen
3186,Düdingen
9630,Wattwil
5624,Bünzen
6374,Buochs
6343,Buonas
3935,Bürchen
2915,Bure
4413,Büren SO
5272,Gansingen
8558,Raperswilen
3294,Büren an der Aare
6382,Büren NW
3313,Büren zum Hof
2603,Péry
5736,Burg AG
8570,Weinfelden
8732,Neuhaus SG
3280,Murten
4117,Burg im Leimental
4556,Burgäschi
9230,Flawil
3400,Burgdorf
6363,Bürgenstock
6363,Bürgenstock
9470,Buchs SG
8805,Richterswil
3664,Burgistein
3664,Burgistein
3664,Burgistein
3816,Burglauenen
6463,Bürglen UR
6078,Bürglen OW
8575,Bürglen TG
1814,La Tour-de-Peilz
9425,Thal
9442,Büriswilen
6233,Büron
1195,Bursinel
1183,Bursins
1268,Burtigny
5522,Tägerig
5522,Tägerig
6542,Buseno
8330,Pfäffikon ZH
4227,Büsserach
1030,Bussigny-Lausanne
1608,Bussigny-sur-Oron
5453,Remetschwil
9565,Bussnang
8371,Busswil TG
3292,Busswil BE
3414,Oberburg
4917,Busswil b.Melchnau
1541,Bussy FR
1136,Bussy-Chardonney
1514,Bussy-sur-Moudon
3422,Kirchberg BE
9606,Bütschwil
8236,Büttenhardt
3203,Mühleberg
2115,Buttes
8863,Buttikon SZ
5619,Büttikon AG
6018,Buttisholz
5632,Buttwil
5085,Sulz AG
4922,Bützberg
4463,Buus
6838,Cabbio
6558,Lostallo
6658,Borgnone
6936,Cademario
6814,Cadempino
6593,Cadenazzo
6917,Barbengo
6965,Cadro
6955,Cagiallo
6655,Intragna
7027,Calfreisen
6746,Calonico
6760,Calpiogna
6900,Lugano
6557,Cama
7107,Safien Platz
6659,Camedo
6803,Camignolo
7187,Camischolas
6528,Camorino
7748,Campascio
6760,Campello
6718,Camperio
6950,Tesserete
7166,Trun
6720,Campo (Blenio)
6684,Campo (VM)
7744,Campocologno
6875,Campora
6718,Olivone
7446,Campsut-Cröt
7113,Camuns
6837,Caneggio
6952,Canobbio
7077,Valbella
6802,Rivera
6825,Capolago
6823,Pugerna
1243,Presinge
6913,Carabbia
6919,Carabietta
6500,Bellinzona
6600,Locarno
6584,Carena
6760,Carì
1565,Missy
6583,S. Antonio
6914,Carona
1227,Carouge GE
7122,Carrera
1084,Carrouge VD
1236,Cartigny
7602,Casaccia
6883,Novazzano
6875,Casima
6987,Caslano
6900,Lugano
6702,Claro
6990,Cassina d'Agno
6976,Castagnola
6540,Castaneda
7608,Castasegna
6874,Castel San Pietro
6980,Castelrotto
7433,Donat
7027,Castiel
6532,Castione
7126,Castrisch
6723,Castro
6777,Quinto
6546,Cauco
1824,Caux
7742,Poschiavo
6749,Cavagnago
7748,Campascio
6823,Pugerna
7182,Cavardiras
6690,Cavergno
6578,Caviano
6654,Cavigliano
7408,Cazis
7505,Celerina
1298,Céligny
6683,Cerentino
1863,Le Sépey
2336,Les Bois
1654,Cerniat FR
1682,Cerniaz VD
2053,Cernier
6959,Certara
6926,Montagnola
1258,Perly
6675,Cevio
1474,Châbles FR
1589,Chabrey
1000,Lausanne
1816,Chailly-Montreux
2732,Reconvilier
3966,Chalais
6330,Cham
1292,Chambésy
1763,Granges-Paccot
1763,Granges-Paccot
1436,Chamblon
2019,Chambrelien
2019,Chambrelien
1832,Chamby
1933,Chamoille
1937,Orsières
1955,Chamoson
1424,Champagne
2149,Champ-du-Moulin
2149,Champ-du-Moulin
1874,Champéry
1938,Champex-Lac
7512,Champfèr
7512,Champfèr
1971,Champlan
1588,Cudrefin
1873,Champoussin
2735,Champoz
1947,Champsec
1537,Champtauroz
1443,Champvent
3976,Noës
3976,Champzabé
7522,La Punt-Chamues-ch
1284,Chancy
3961,Chandolin
1965,Chandolin Savièse
1773,Chandon
1945,Chandonne (Liddes)
1583,Villarepos
1409,Chanéaz
7526,Cinuos-chel
1534,Chapelle (Broye)
1608,Chapelle (Glâne)
1063,Chapelle-s-Moudon
9032,Engelburg
4153,Reinach BL
1803,Chardonne
1041,Montaubion-Chardon
1637,Charmey (Gruyère)
2947,Charmoille
1906,Charrat
1257,La Croix-de-Rozon
2518,Nods
1452,Les Rasses
1297,Founex
1926,Fully
1660,Château-d'Oex
1950,Sion
1219,Châtelaine
1095,Lutry
2715,Châtelat
1618,Châtel-St-Denis
1653,Châtel-Montsalvens
1186,Essertines-Rolle
1610,Châtillens
1473,Châtillon FR
2843,Châtillon JU
1553,Châtonnaye
2067,Chaumont
2067,Chaumont
1279,Chavannes-de-Bogis
1290,Chavannes-des-Bois
1464,Chavannes-le-Chêne
1676,Chavannes-Forts
1148,Chavannes-Veyron
1022,Chavannes-Renens
1694,Chavannes-Orsonnen
1512,Chavannes-s-Moudon
1373,Chavornay
1529,Cheiry
3978,Flanthey
1872,Troistorrents
1927,Chemin
1927,Chemin
1091,Chenaux
1224,Chêne-Bougeries
1225,Chêne-Bourg
1744,Chénens
1464,Chêne-Pâquier
3971,Chermignon
3971,Chermignon-Bas
3971,Chermignon
1822,Chernex
2885,Epauvillers
1683,Chesalles-Moudon
1608,Chesalles-sur-Oron
1400,Cheseaux-Noréaz
1033,Cheseaux-Lausanne
1275,Chéserex
1885,Chesières
1720,Chésopelloz
1846,Chessel
2906,Chevenez
1316,Chevilly
1247,Anières
1233,Bernex
1244,Choulex
1545,Chevroux
1071,Chexbres
1071,Chexbres
1468,Cheyres
1347,Le Sentier
1945,Chez Petit(Liddes)
2054,Chézard-St-Martin
2883,Montmelon
2025,Chez-le-Bart
1937,Orsières
1937,Orsières
1348,Le Brassus
6830,Chiasso
6713,Malvaglia
6764,Chiggiogna
1134,Chigny
8912,Obfelden
3965,Chippis
8512,Thundorf
6747,Chironico
1871,Choëx
2830,Courrendlin
1253,Vandoeuvres
1244,Choulex
1242,Satigny
3453,Heimisbach
3538,Röthenbach i. E.
7000,Chur
7075,Churwalden
6959,Cimadera
6684,Cimalmotto
6992,Cimo
7526,Cinuos-chel
4000,Basel
1815,Clarens
1127,Clarmont
6702,Claro
7272,Davos Clavadel
1595,Clavaleyres
1993,Clèbes (Nendaz)
2057,Villiers
7442,Clugin
2932,Coeuve
2207,Coffrane
6678,Coglio
1267,Coinsins
1216,Cointrin
1216,Cointrin
1927,Chemin
6877,Coldrerio
1865,Les Diablerets
6951,Colla
1239,Collex
6683,Cerentino
1868,Collombey
1868,Collombey
1245,Collonge-Bellerive
1903,Collonges
7742,Poschiavo
1223,Cologny
1114,Colombier VD
2013,Colombier NE
6949,Comano
1535,Combremont-Grand
1536,Combremont-Petit
1937,Orsières
1291,Commugny
6663,Comologno
7562,Samnaun-Compatsch
6716,Acquarossa
1231,Conches
1231,Conches
1426,Concise
1996,Condémines (Nendaz
6954,Sala Capriasca
1232,Confignon
1587,Constantine
7241,Conters
1964,Conthey
6594,Contone
6646,Contra
3974,Mollens VS
1296,Coppet
2826,Corban
6663,Comologno
1856,Corbeyrier
1647,Corbières
6655,Intragna
1422,Grandson
2747,Corcelles BE
1616,Attalens
2035,Corcelles NE
1082,Corcelles-le-Jorat
1426,Corcelles-Concise
1562,Corcelles-Payerne
1374,Corcelles-Chavorn
1792,Cordast
3972,Miège
2606,Corgémont
3960,Corin-de-la-Crête
6631,Corippo
1754,Corjolens
1782,Cormagens
1752,Villars-sur-Glâne
1721,Cormérod
1720,Corminboeuf
2036,Cormondrèche
2612,Cormoret
2087,Cornaux NE
1072,Forel (Lavaux)
2952,Cornol
1727,Corpataux-Magneden
1410,St-Cierges
1410,Correvon
1772,Grolley
1802,Corseaux
1747,Corserey
1246,Corsier GE
1804,Corsier-sur-Vevey
1252,Meinier
1095,Lutry
2016,Cortaillod
2607,Cortébert
6873,Corteglia
6958,Corticiasca
6924,Sorengo
6722,Corzoneso
1305,Penthalaz
1304,Cossonay-Ville
1741,Cottens FR
1116,Cottens VD
1585,Cotterd
1934,Le Châble VS
1529,Cheiry
2823,Courcelon
2825,Courchapoix
2922,Courchavon
2853,Courfaivre
2950,Courgenay
1796,Courgevaux
1795,Courlevon
1721,Cournillens
2830,Courrendlin
2822,Courroux
2738,Court
1791,Courtaman
2905,Courtedoux
2608,Courtelary
2923,Courtemaîche
2950,Courtemautruy
1784,Courtepin
2852,Courtételle
1721,Courtion
1774,Cousset
1795,Courlevon
2108,Couvet
6951,Cozzo
6611,Crana
3963,Crans-Montana
3963,Crans-Montana
1299,Crans-près-Céligny
3963,Crans-Montana
3963,Crans-Montana
1263,Crassier
7505,Celerina
1845,Noville
1071,Chexbres
1526,Cremin
2746,Crémines
6705,Cresciano
1785,Cressier FR
2088,Cressier NE
7447,Cresta (Avers)
1653,Crésuz
1992,Crête-à-l'Oeil
2108,Couvet
1941,Cries (Vollèges)
1023,Crissier
6980,Castelrotto
1406,Cronay
7446,Campsut-Cröt
1322,Croy
7554,Crusch
1148,Cuarnens
1404,Cuarny
1588,Cudrefin
6516,Cugnasco
6516,Cugnasco
1482,Cugy FR
1053,Cugy VD
1096,Cully
7142,Cumbel
6722,Corzoneso
7176,Cumpadials
7452,Cunter
7184,Curaglia
6963,Cureggia
6944,Cureglia
6986,Curio
1521,Curtilles
6959,Curtina
1782,Belfaux
8932,Mettmenstetten
8447,Dachsen
8165,Schleinikon
8471,Dägerlen
6252,Dagmersellen
1306,Daillens
1976,Daillon
6126,Daiwil
7240,Küblis
7424,Dalin
6383,Dallenwil
8108,Dällikon
6774,Dalpe
3268,Lobsigen
2933,Damphreux
2914,Damvant
6717,Dangio-Torre
4658,Däniken SO
8114,Dänikon ZH
7163,Danis
1283,Dardagny
7164,Dardin
3707,Därligen
3973,Venthône
3973,Venthône
6500,Bellinzona
3763,Därstetten
7166,Trun
8421,Dättlikon
8400,Winterthur
5405,Dättwil AG
8452,Adlikon
6964,Davesco-Soragno
1891,Vérossaz
7260,Davos Dorf
7270,Davos Platz
7145,Degen
5426,Lengnau AG
9113,Degersheim
6777,Quinto
3993,Grengiols
3053,Deisswil Mbuchsee
3066,Stettlen
3066,Stettlen
4543,Deitingen
2800,Delémont
1567,Delley
1415,Démoret
1135,Denens
1410,Denezy
1026,Denges
5026,Densbüren
3076,Worb
1976,Erde
4552,Derendingen
3036,Detligen
4537,Wiedlisbach
8484,Neschwil
8574,Dettighofen Lengw.
8505,Dettighofen
2802,Develier
8354,Hofstetten ZH
9115,Dicken
6074,Giswil
4457,Diegten
8157,Dielsdorf
8733,Eschenbach SG
3053,Diemerswil
3754,Diemtigen
4442,Diepflingen
9444,Diepoldsau
6036,Dierikon
8777,Diesbach GL
3264,Diessbach b. Büren
2517,Diesse
8253,Diessenhofen
9526,Zuckenriet
3256,Dieterswil
9615,Dietfurt
8953,Dietikon
8524,Uesslingen
3184,Wünnewil
4448,Läufelfingen
8305,Dietlikon
6000,Luzern
9533,Dietschwil
6042,Dietwil
8637,Laupen ZH
7014,Trin
8500,Frauenfeld
8474,Dinhard
6967,Dino
5606,Dintikon
3963,Montana
1965,Diolly (Savièse)
8573,Siegershausen
7260,Davos Dorf
7180,Disentis/Mustér
7180,Disentis/Mustér
4243,Dittingen
1304,Dizy
7013,Domat/Ems
2056,Dombresson
1564,Domdidier
1041,Dommartin
1563,Dompierre FR
1682,Dompierre VD
7433,Donat
1580,Donatyre
6715,Dongio
1407,Donneloye
8583,Donzhausen
6112,Doppleschwand
1905,Dorénaz
8458,Dorf
8942,Oberrieden
8239,Dörflingen
4143,Dornach
4147,Aesch BL
8777,Diesbach GL
8566,Dotnacht
6718,Olivone
5605,Dottikon
5605,Dottikon
5312,Döttingen
3293,Dotzigen
8582,Dozwil
1945,Dranse (Liddes)
9612,Dreien
1680,Romont FR
1965,Drône (Savièse)
6809,Medeglia
8600,Dübendorf
3186,Düdingen
4202,Duggingen
1912,Dugny (Leytron)
1266,Duillier
4657,Dulliken
1195,Dully
8585,Langrickenbach
6702,Claro
8635,Dürnten
5724,Dürrenäsch
3600,Thun
3465,Dürrenroth
8335,Hittnau
8374,Dussnang
7112,Duvin
1236,Cartigny
1236,Cartigny
6245,Ebersecken
6276,Hohenrain
9122,Ebersol
9220,Bischofszell
8925,Ebertswil
6030,Ebikon
3855,Brienz BE
8123,Ebmatingen
9642,Ebnat-Kappel
6163,Ebnet
1040,Echallens
1026,Echandens
1646,Echarlens
1112,Echichens
1376,Eclagnens
1312,Eclépens
1908,Riddes
1612,Ecoteaux
1673,Ecublens FR
1024,Ecublens VD
1730,Ecuvillens
2813,Ederswiler
6073,Flüeli-Ranft
6313,Edlibach
5078,Effingen
8307,Effretikon
5225,Bözberg
4622,Egerkingen
8847,Egg SZ
9231,Egg (Flawil)
8132,Egg b. Zürich
7133,Obersaxen Affeier
3991,Betten
5445,Eggenwil
3939,Eggerberg
9034,Eggersriet
9050,Appenzell Eggerst.
8585,Langrickenbach
8523,Hagenbuch ZH
3537,Eggiwil
8193,Eglisau
5704,Egliswil
9322,Egnach
6243,Egolzwil
7104,Versam
8489,Wildberg
6205,Eich
4658,Däniken SO
9453,Eichberg
3254,Messen
3254,Messen
8400,Winterthur
5314,Kleindöttingen
6013,Eigenthal
3823,Eigergletscher
5074,Eiken
3646,Einigen
8840,Einsiedeln
3943,Eischoll
1969,Eison (St.Martin)
3922,Eisten
3919,Blatten(Lötschen)
5077,Elfingen
8353,Elgg
8566,Ellighausen
8464,Ellikon am Rhein
8548,Ellikon a d Thur
8767,Elm
8352,Elsau
3184,Wünnewil
3926,Embd
8424,Embrach
8424,Embrach
3711,Emdthal
6032,Emmen
6020,Emmenbrücke
3543,Emmenmatt
6020,Emmenbrücke
6376,Emmetten
8280,Kreuzlingen
8181,Höri
5304,Endingen
3655,Sigriswil
8000,Zürich
6390,Engelberg
5746,Walterswil SO
9032,Engelburg
8566,Dotnacht
